file,page,context
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,2,"(2) restrict the management of your | biosolids. These actions are required under Part 1.C.1.f.1 and Part 1.C.1.£2 of your National | Pollutant Discharge Elimination System (NPDES) Permit, respectively. For item (1) above, your WWTP would be failing to comply with the NREPA if it is passing through PFOS and/or PFOA at ; concentrations greater than the applicable WQS. Please consult your Regional IPP PFAS Specialist regarding any questions that you may have about any steps in the process described below. Staff maps may be found at www. michigan.gov/IPP. 1. Conduct Initial Screening: Conduct a review of your industrial users to identify industrial users that may be potential significant sources of PFOS and PFOA. The following types of industrial users may be potential significant sources of PFOS"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,2,"AS Specialist regarding any questions that you may have about any steps in the process described below. Staff maps may be found at www. michigan.gov/IPP. 1. Conduct Initial Screening: Conduct a review of your industrial users to identify industrial users that may be potential significant sources of PFOS and PFOA. The following types of industrial users may be potential significant sources of PFOS and PFOA: . metal finishers that are using, or have used, PFAS-containing wetting agents, demisters, defoamers, or surfactants in their plating tanks (generally platers that use, or have used, hexavalent chromium) | | . |"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,3,"tted via MiWaters as an IPP Unscheduled Submission for Approval. i 3. Perform Source Monitoring: Sample the discharge from each probable source - identified in your monitoring plan for PFAS, using grab samples, and following the recommended sampling protocol to prevent cross-contamination. Although PFOS and PFOA are the primary pollutants of concern at this time, the laboratory analysis will include concentrations of a number of PFAS. As our understanding of these emerging pollutants progresses, this information will likely be useful. Currently, there are no | | fi ! ‘ i"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,4,"ces. We understand the costs associated with this effort, but it is necessary due to the potential impacts on human heaith and the impairment of fisheries. Recommended sampling protocol will be posted to the DEQ’s IPP Web page at www.michigan.gov/IPP when it becomes | available. 4. Reduce/Eliminate PFOS and PFOA Sources: If significant sources of PFOS and/or PFOA are found through source monitoring (Item 3 above), you are required to follow-up with the source(s) to reduce and/or eliminate these pollutants in their effluent. Note that for PFOS, loading is important since it bioaccumulates. Source reduction and elimination efforts may include product substitution, operational controls, pretreatment, and clean-up of historical contamination. 5. Evaluate Impacts: If you find sources discharging PE"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,4,"effort, but it is necessary due to the potential impacts on human heaith and the impairment of fisheries. Recommended sampling protocol will be posted to the DEQ’s IPP Web page at www.michigan.gov/IPP when it becomes | available. 4. Reduce/Eliminate PFOS and PFOA Sources: If significant sources of PFOS and/or PFOA are found through source monitoring (Item 3 above), you are required to follow-up with the source(s) to reduce and/or eliminate these pollutants in their effluent. Note that for PFOS, loading is important since it bioaccumulates. Source reduction and elimination efforts may include product substitution, operational controls, pretreatment, and clean-up of historical contamination. 5. Evaluate Impacts: If you find sources discharging PEOS and/or PFOA to your WWTP | from this monitorin"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,4,"ov/IPP when it becomes | available. 4. Reduce/Eliminate PFOS and PFOA Sources: If significant sources of PFOS and/or PFOA are found through source monitoring (Item 3 above), you are required to follow-up with the source(s) to reduce and/or eliminate these pollutants in their effluent. Note that for PFOS, loading is important since it bioaccumulates. Source reduction and elimination efforts may include product substitution, operational controls, pretreatment, and clean-up of historical contamination. 5. Evaluate Impacts: If you find sources discharging PEOS and/or PFOA to your WWTP | from this monitoring, you are required to monitor your WWTP effluent for PFAS. Please see the discussion of PFAS sampling and analysis methods in Item 3 of this letter. If | effluent results are found to be greater"
2018-03-01__1950215384933042828__MI0020257 PFAS-IPP Letter 2-20-2018.pdf.pdf,4,"g or specific actions. 8. Submit a Summary Report: Unless you were sent a letter from the DEQ, WRD, requiring no further action in response to your Interim Report submittal, please submit the results of any additional monitoring data (WWTP effluent, biosolids, or source monitoring) and a summary of PFOS and/or PFOA source reduction and/or elimination efforts to the DEQ, WRD, by October 26, 2018. A specific schedule and form will be available in MiWaters for submittal of this information. IPP staff will review the information reported and will contact you about any required follow-up actions. | | | i"
2018-04-18__1922698188754231116__PFAS.msg.pdf,3,"CADILLAC p= 2 ee aa Cadillac Utilities Department April 5,2018 Dear Industrial Permit Holder, You may have heard news recently about perfluoroalkyl and polyfluoroalkyl substances (PFAS, also referred to as PFCs), especially the specific chemicals PFOS (perfluorooctane sulfonate) and PFOA (perfluorooctanoic acid). The Michigan Department of Environmental Quality (MDEQ), Water Resources Division (WRD), is requiring Wastewater Treatment Plants (WWTP) with Industrial Pretreatment Programs (IPPs) to evaluate potential sources of PFAS, investigate probable sources, reduce/eliminate the sources found, and take other actions to protect surface water quality as needed. This is a letter informing you that you will be receiving a MDEQ survey in the nea"
2018-04-18__1922698188754231116__PFAS.msg.pdf,5,4 C13F27COOH 376-06-7 X Perfluorobutane Sulfonic acid PFBS C4 C4F9SO3H 375-73-5 X Perfluoropentane sulfonic acid PFPeS C5 C5F11SO3H 2706-91-4 X Perfluorohexane Sulfonic acid PFHxS C6 C6F13SO3H 355-46-4 X Perfluoroheptane Sulfonic acid PFHpS C7 C7F15SO3H 375-92-8 X Perfluorooctane Sulfonic acid PFOS C8 C8F17SO3H 1763-23-1 X Perfluorononane sulfonic acid PFNS C9 C9F19SO3H 474511-07-4 X Perfluorodecane Sulfonic acid PFDS C10 C10F21SO3H 335-77-3 X Perfluorooctane sulfonamide FOSA C8 C8F17SO2NH2 754-91-6 X 4:2 Fluorotelomer sulfonic acid 4:2 FTSA C4 4F9CH2CH2SO3 757124-72-4 X 6:2 Fluorotelomer sulfonic acid 6:2 FTSA C6 6F13CH2CH2SO3 27619-97-2 X 8:2 Fluorotelomer sulfonic acid 8:2 FTSA C8 8F17CH2CH2SO3 39108-34-4 X N -Ethyl perfluorooctane sulfonamidoacetic acid EtFOSAA C8 C8F17SO2N
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,3,al Phosphorus (as P) May – March 13 --- (report) lbs/day 0.5 --- (report) mg/l 5x Weekly 24-Hr Composite April 17 --- (report) lbs/day 0.65 --- (report) mg/l 5x Weekly 24-Hr Composite Fecal Coliform Bacteria --- --- --- --- 200 400 (report) cts/100 ml 5x Weekly Grab Perfluorooctane sulfonate (PFOS) (report) --- (report) lbs/day (report) --- (report) ng/l 2x Annually Grab Perfluorooctanoic acid (PFOA) (report) --- (report) lbs/day (report) --- (report) ng/l 2x Annually Grab Total Copper 0.3 --- 0.82 lbs/day 11 --- 31 ug/l Weekly 24-Hr Composite Total Nickel (report) --- (report) lbs/day (report) --- (report) ug/l Quarterly 24-Hr Composite Total Selenium 0.15 --- (report) lbs/day 5.7 --- (report) ug/l Monthly 24-Hr Composite Bis(2- ethylhexyl)phthalate 0.82 --- (report) lbs/day 31 --- (r
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,5,"The monitoring frequency for total selenium, and bis(2-ethylhexyl)phthalate shall not be reduced to less than quarterly. The Department may revoke the approval for reduced monitoring at any time upon notification to the permittee. i. Monitoring Frequency Reduction for Perfluorooctane Sulfonate (PFOS) and/or Perfluorooctanoic Acid (PFOA) After the submittal of at least 10 equally spaced data points over a minimum of 3 months, the permittee may request, in writing, Department approval of a reduction in monitoring frequency for PFOS and/or PFOA. This request shall contain an explanation as to why the reduced monitoring is appropriate. Upon receipt of written approval and consistent with such approval, the permittee may reduce the monitoring frequency indicated in Part I.A.1. of this p"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,5,"Monitoring Frequency Reduction for Perfluorooctane Sulfonate (PFOS) and/or Perfluorooctanoic Acid (PFOA) After the submittal of at least 10 equally spaced data points over a minimum of 3 months, the permittee may request, in writing, Department approval of a reduction in monitoring frequency for PFOS and/or PFOA. This request shall contain an explanation as to why the reduced monitoring is appropriate. Upon receipt of written approval and consistent with such approval, the permittee may reduce the monitoring frequency indicated in Part I.A.1. of this permit. The monitoring frequency for PFOS and/or PFOA shall not be reduced to less than annually. The Department may revoke the approval for reduced monitoring at any time upon notification to the permittee. j. Final Effluent Limitation"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,5,"OS and/or PFOA. This request shall contain an explanation as to why the reduced monitoring is appropriate. Upon receipt of written approval and consistent with such approval, the permittee may reduce the monitoring frequency indicated in Part I.A.1. of this permit. The monitoring frequency for PFOS and/or PFOA shall not be reduced to less than annually. The Department may revoke the approval for reduced monitoring at any time upon notification to the permittee. j. Final Effluent Limitation for Total Mercury The final limit for total mercury is the Discharge Specific Level Currently Achievable (LCA) based on a multiple discharger variance from the WQBEL of 1.3 ng/l, pursuant to Rule 1103(9) of the Water Quality Standards. Compliance with the LCA shall be determined as a 12-month roll"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,8,", Total 5 ug/l PCB-1016 0.1 ug/l EPA Method 608 PCB-1221 0.1 ug/l EPA Method 608 PCB-1232 0.1 ug/l EPA Method 608 PCB-1242 0.1 ug/l EPA Method 608 PCB-1248 0.1 ug/l EPA Method 608 PCB-1254 0.1 ug/l EPA Method 608 PCB-1260 0.1 ug/l EPA Method 608 Pentachlorophenol 1.8 ug/l Perfluorooctane sulfonate (PFOS) 2.0 ng/l ASTM D7979 or an isotope dilution method (sometimes referred to as Method 537 modified) Perfluorooctanoic acid (PFOA) 2.0 ng/l ASTM D7979 or an isotope dilution method (sometimes referred to as Method 537 modified) Phenanthrene 1.0 ug/l Silver, Total 0.5 ug/l Strontium, Total 1000 ug/l Sulfides, Dissolved 20 ug/l Thallium, Total 1 ug/l Toxaphene 0.1 ug/l EPA Method 608 Vinyl Chloride 0.25 ug/l Zinc, Total 10 ug/l 3. Additional Monitoring Requirements As a condition of this p"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,10,ion in the frequency of the requirements under items a. and b. This permit may be modified in accordance with applicable laws and rules to include additional mercury conditions and/or limitations as necessary. 5. Pollutant Minimization and Source Evaluation Program for Perfluorooctane Sulfonate (PFOS) and/or Perfluorooctanoic Acid (PFOA) The goal of the Pollutant Minimization and Source Evaluation Program is to identify and address sources of PFOS and/or PFOA and to reduce and maintain the effluent concentrations of PFOS and/or PFOA at or below the water quality-based effluent limitations (WQBELs). The WQBELs are 12 ng/L for PFOS and 20 ug/L for PFOA. Within 90 days of written notification by the Department or after the permittee notifies the Department that the final effluent concentra
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,10,"ditional mercury conditions and/or limitations as necessary. 5. Pollutant Minimization and Source Evaluation Program for Perfluorooctane Sulfonate (PFOS) and/or Perfluorooctanoic Acid (PFOA) The goal of the Pollutant Minimization and Source Evaluation Program is to identify and address sources of PFOS and/or PFOA and to reduce and maintain the effluent concentrations of PFOS and/or PFOA at or below the water quality-based effluent limitations (WQBELs). The WQBELs are 12 ng/L for PFOS and 20 ug/L for PFOA. Within 90 days of written notification by the Department or after the permittee notifies the Department that the final effluent concentration of PFOS and/or PFOA has exceeded the WQBELs, the permittee shall submit to the Department an approvable Pollutant Minimization and Source Evalua"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,10,"inimization and Source Evaluation Program for Perfluorooctane Sulfonate (PFOS) and/or Perfluorooctanoic Acid (PFOA) The goal of the Pollutant Minimization and Source Evaluation Program is to identify and address sources of PFOS and/or PFOA and to reduce and maintain the effluent concentrations of PFOS and/or PFOA at or below the water quality-based effluent limitations (WQBELs). The WQBELs are 12 ng/L for PFOS and 20 ug/L for PFOA. Within 90 days of written notification by the Department or after the permittee notifies the Department that the final effluent concentration of PFOS and/or PFOA has exceeded the WQBELs, the permittee shall submit to the Department an approvable Pollutant Minimization and Source Evaluation Program for PFOS and/or PFOA to proceed toward the goal. The Pollutan"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,10,"FOA) The goal of the Pollutant Minimization and Source Evaluation Program is to identify and address sources of PFOS and/or PFOA and to reduce and maintain the effluent concentrations of PFOS and/or PFOA at or below the water quality-based effluent limitations (WQBELs). The WQBELs are 12 ng/L for PFOS and 20 ug/L for PFOA. Within 90 days of written notification by the Department or after the permittee notifies the Department that the final effluent concentration of PFOS and/or PFOA has exceeded the WQBELs, the permittee shall submit to the Department an approvable Pollutant Minimization and Source Evaluation Program for PFOS and/or PFOA to proceed toward the goal. The Pollutant Minimization and Source Evaluation Program shall continue work under the IPP Interim Initiative and shall inc"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,10,"entrations of PFOS and/or PFOA at or below the water quality-based effluent limitations (WQBELs). The WQBELs are 12 ng/L for PFOS and 20 ug/L for PFOA. Within 90 days of written notification by the Department or after the permittee notifies the Department that the final effluent concentration of PFOS and/or PFOA has exceeded the WQBELs, the permittee shall submit to the Department an approvable Pollutant Minimization and Source Evaluation Program for PFOS and/or PFOA to proceed toward the goal. The Pollutant Minimization and Source Evaluation Program shall continue work under the IPP Interim Initiative and shall include the following at a minimum: a. identification of and strategies to identify any additional potential and probable PFOS and/or PFOA sources; b. monitoring plan for the pe"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,10,"n 90 days of written notification by the Department or after the permittee notifies the Department that the final effluent concentration of PFOS and/or PFOA has exceeded the WQBELs, the permittee shall submit to the Department an approvable Pollutant Minimization and Source Evaluation Program for PFOS and/or PFOA to proceed toward the goal. The Pollutant Minimization and Source Evaluation Program shall continue work under the IPP Interim Initiative and shall include the following at a minimum: a. identification of and strategies to identify any additional potential and probable PFOS and/or PFOA sources; b. monitoring plan for the permitted facility’s influent and effluent and effluent from potential sources; c. implemented measures thus far to eliminate, reduce, and/or control sources, an"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,10,"ogram for PFOS and/or PFOA to proceed toward the goal. The Pollutant Minimization and Source Evaluation Program shall continue work under the IPP Interim Initiative and shall include the following at a minimum: a. identification of and strategies to identify any additional potential and probable PFOS and/or PFOA sources; b. monitoring plan for the permitted facility’s influent and effluent and effluent from potential sources; c. implemented measures thus far to eliminate, reduce, and/or control sources, and an assessment of the degree of success and the strategies used to measure success; and d. proposed measures and implementation schedules for elimination, control, and/or reduction of the identified sources (prioritizing highest loadings and concentrations), and the strategies that will"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,11,"ram implementation, the permittee shall submit to the Department a status report for the previous calendar year. Upon written notification by the Department, the permittee may be required to submit more frequent status reports. Status reports at a minimum shall include: a. complete listing of PFOS and/or PFOA sources; b. summary of influent and effluent monitoring data; c. summary of monitoring data from known or potential sources; d. history and compliance status for sources; e. implemented measures to eliminate, reduce, or control sources, (prioritizing highest loadings and concentrations), and an assessment of the degree of success and the strategies used to measure success; f. proposed measures and schedules for elimination, control, or reduction of any newly identified PFOS and/or"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,11,"mplemented measures to eliminate, reduce, or control sources, (prioritizing highest loadings and concentrations), and an assessment of the degree of success and the strategies used to measure success; f. proposed measures and schedules for elimination, control, or reduction of any newly identified PFOS and/or PFOA sources (prioritizing highest loadings and concentrations), and the strategies that will be used to measure success; g. barriers to implementation and revisions to the implementation schedule; and h. laboratory reports, if not previously supplied. Any information generated as a result of the Pollutant Minimization and Source Evaluation Program set forth in this permit may be used to support a request to modify the Pollutant Minimization and Source Evaluation Program or to demo"
2018-06-14__5107184373189296510__NPDES Permit-FINAL_Cadillac WWTP.docx.pdf,11,"e frequency of the influent and known or potential source monitoring requirements. Approval of a Pollutant Minimization and Source Evaluation Program modification does not require a permit modification. This permit may be modified in accordance with applicable laws and rules to include additional PFOS and/or PFOA conditions and/or limitations as necessary. 6. Untreated or Partially Treated Sewage Discharge Reporting and Testing Requirements In accordance with Section 324.3112a of the NREPA, if untreated or partially treated sewage is directly or indirectly discharged from a sewer system onto land or into the waters of the state, the permittee shall immediately, but not more than 24 hours after the discharge begins, notify local health departments, a daily newspaper of general circ"
2018-07-30__-1446023942601055554__Mich Rubber PFAS Survey.pdf v1.pdf,2,"Section 1 -Electroplaters/metal finishers/circuit board manufacturers PFAS-containing chemicals, specifically those containing perfluoroctane sulfonate (PFOS) were used by electroplaters as a demister/defoamer/surfactant to control air emissions of hexavalent chromium beginning in the mid-1990s. While hard chrome and decorative chrome platers using hexavalent chrome are the most likely sources, PFAS have also been found in wetting agents and other plating chemicals involving other metals and plastics. Even if used many years ago, PFAS-containing chemicals may persist in plating tanks, etch tanks, sumps, air emission control systems and secondary con"
2018-07-30__-1446023942601055554__Mich Rubber PFAS Survey.pdf v1.pdf,2,"S have also been found in wetting agents and other plating chemicals involving other metals and plastics. Even if used many years ago, PFAS-containing chemicals may persist in plating tanks, etch tanks, sumps, air emission control systems and secondary containment pits. Some chemicals identified as PFOS-free may still contain PFAS. We are still learning about the behavior of these chemicals, and there are concerns that chemical changes may occur in plating and etch baths. Platers in Michigan and Minnesota were found to have PFOS contamination in their wastewater years after they discontinued use of PFOS- containing chemicals. Not Applicable, i. What types of plating are currently performed at your facility? ii. What types of plating were previously performed at your facility? Please summarize"
2018-07-30__-1446023942601055554__Mich Rubber PFAS Survey.pdf v1.pdf,2,"systems and secondary containment pits. Some chemicals identified as PFOS-free may still contain PFAS. We are still learning about the behavior of these chemicals, and there are concerns that chemical changes may occur in plating and etch baths. Platers in Michigan and Minnesota were found to have PFOS contamination in their wastewater years after they discontinued use of PFOS- containing chemicals. Not Applicable, i. What types of plating are currently performed at your facility? ii. What types of plating were previously performed at your facility? Please summarize the plating activities over the last 20 years if possible. iii. Are or were demisters/defoamers/surfactants used to control air emissions or as wetting agents for any plating or etch tanks? If so, what are the names of the chemica"
2018-07-30__-1446023942601055554__Mich Rubber PFAS Survey.pdf v1.pdf,2,"ree may still contain PFAS. We are still learning about the behavior of these chemicals, and there are concerns that chemical changes may occur in plating and etch baths. Platers in Michigan and Minnesota were found to have PFOS contamination in their wastewater years after they discontinued use of PFOS- containing chemicals. Not Applicable, i. What types of plating are currently performed at your facility? ii. What types of plating were previously performed at your facility? Please summarize the plating activities over the last 20 years if possible. iii. Are or were demisters/defoamers/surfactants used to control air emissions or as wetting agents for any plating or etch tanks? If so, what are the names of the chemicals and amounts and concentrations used? Please provide the SDS/MSDS sheets f"
2018-07-30__-1446023942601055554__Mich Rubber PFAS Survey.pdf v1.pdf,2,"sed to control air emissions or as wetting agents for any plating or etch tanks? If so, what are the names of the chemicals and amounts and concentrations used? Please provide the SDS/MSDS sheets for these chemicals. iv. Are any other chemicals used in the plating processes known to contain PFAS or PFOS? If so, what are the names of the chemicals and amounts and concentrations used? Please provide the SDS/MSDS sheets for these chemicals and a schematic or flow diagram that shows where each chemical is used. v. Are there any other fluorinated chemicals used (look for “fluoro” in the SDS/MSDS chemical listing or product name, e.g., “fluorinated surfactant(s)” or “organic fluorosulfonate”)? If so, what are the names of the chemicals and amounts and concentrations used? Please provide the SDS/MSDS"
2018-07-30__-2532227711322477530__CCI PFAS Survey.pdf v1.pdf,2,"Section 1 -Electroplaters/metal finishers/circuit board manufacturers NA PFAS-containing chemicals, specifically those containing perfluoroctane sulfonate (PFOS) were used by electroplaters as a demister/defoamer/surfactant to control air emissions of hexavalent chromium beginning in the mid-1990s. While hard chrome and decorative chrome platers using hexavalent chrome are the most likely sources, PFAS have also been found in wetting agents and other plating chemicals involving other metals and plastics. Even if used many years ago, PFAS-containing chemicals may persist in plating tanks, etch tanks, sumps, air emission control systems and secondary con"
2018-07-30__-2532227711322477530__CCI PFAS Survey.pdf v1.pdf,2,"S have also been found in wetting agents and other plating chemicals involving other metals and plastics. Even if used many years ago, PFAS-containing chemicals may persist in plating tanks, etch tanks, sumps, air emission control systems and secondary containment pits. Some chemicals identified as PFOS-free may still contain PFAS. We are still learning about the behavior of these chemicals, and there are concerns that chemical changes may occur in plating and etch baths. Platers in Michigan and Minnesota were found to have ee PEOS-contamination-n their wastewater years after they discontinued use of PFOS=containtig chemicals: i= i. What types of plating are currently performed at your facility? Nowe ii. What types of plating were previously performed at your facility? Please summarize the pla"
2018-07-30__-2532227711322477530__CCI PFAS Survey.pdf v1.pdf,2,"e may still contain PFAS. We are still learning about the behavior of these chemicals, and there are concerns that chemical changes may occur in plating and etch baths. Platers in Michigan and Minnesota were found to have ee PEOS-contamination-n their wastewater years after they discontinued use of PFOS=containtig chemicals: i= i. What types of plating are currently performed at your facility? Nowe ii. What types of plating were previously performed at your facility? Please summarize the plating activities over the last 20 years if possible. ONE iii. Are or were demisters/defoamers/surfactants used to control air emissions or as wetting agents for any plating or etch tanks? If so, what are the names of the chemicals and amounts and concentrations used? Please provide the SDS/MSDS sheets for th"
